"country","year","UNSD_treat","UNSD_con"
"Antigua and Barbuda",1997,-9999,-9999
"Antigua and Barbuda",1998,-9999,-9999
"Antigua and Barbuda",1999,-9999,-9999
"Antigua and Barbuda",2000,-9999,-9999
"Antigua and Barbuda",2001,-9999,-9999
"Antigua and Barbuda",2002,-9999,-9999
"Antigua and Barbuda",2003,-9999,-9999
"Antigua and Barbuda",2004,-9999,-9999
"Antigua and Barbuda",2005,-9999,-9999
"Antigua and Barbuda",2006,-9999,-9999
"Antigua and Barbuda",2007,-9999,-9999
"Antigua and Barbuda",2008,-9999,-9999
"Antigua and Barbuda",2009,-9999,-9999
"Argentina",1990,-9999,-9999
"Argentina",1995,-9999,-9999
"Argentina",1996,-9999,-9999
"Argentina",1997,-9999,-9999
"Argentina",1998,-9999,-9999
"Argentina",1999,-9999,-9999
"Argentina",2000,-9999,-9999
"Argentina",2001,42.5,42.5
"Argentina",2002,-9999,-9999
"Argentina",2003,-9999,-9999
"Argentina",2004,-9999,-9999
"Argentina",2005,-9999,-9999
"Argentina",2006,-9999,-9999
"Argentina",2007,-9999,-9999
"Argentina",2008,-9999,-9999
"Argentina",2009,-9999,-9999
"Armenia",1990,32.6,62.6
"Armenia",1995,32.7,64.1
"Armenia",1996,-9999,-9999
"Armenia",1997,-9999,-9999
"Armenia",1998,-9999,-9999
"Armenia",1999,-9999,-9999
"Armenia",2000,32.8,63.3
"Armenia",2001,32.8,62.8
"Armenia",2002,34.3,58.8
"Armenia",2003,34.3,60.2
"Armenia",2004,34.3,61.6
"Armenia",2005,34.3,65.1
"Armenia",2006,34.3,66.1
"Armenia",2007,34.3,67
"Armenia",2008,34.3,66.8
"Armenia",2009,34.3,67
"Aruba",1990,-9999,-9999
"Aruba",1995,-9999,-9999
"Aruba",1996,-9999,-9999
"Aruba",1997,-9999,-9999
"Aruba",1998,-9999,-9999
"Aruba",1999,-9999,-9999
"Aruba",2000,-9999,-9999
"Aruba",2001,-9999,-9999
"Aruba",2002,-9999,-9999
"Aruba",2003,-9999,-9999
"Aruba",2004,-9999,-9999
"Aruba",2005,-9999,-9999
"Aruba",2006,-9999,-9999
"Aruba",2007,-9999,-9999
"Aruba",2008,-9999,-9999
"Aruba",2009,-9999,-9999
"Australia",1990,-9999,-9999
"Australia",1995,-9999,-9999
"Australia",1996,-9999,-9999
"Australia",1997,-9999,-9999
"Australia",1998,-9999,-9999
"Australia",1999,-9999,-9999
"Australia",2000,-9999,-9999
"Australia",2001,-8888,90
"Australia",2002,-9999,-9999
"Australia",2003,-9999,-9999
"Australia",2004,-8888,87
"Australia",2005,-9999,-9999
"Australia",2006,-9999,-9999
"Australia",2007,-9999,-9999
"Australia",2008,-9999,-9999
"Australia",2009,-9999,-9999
"Austria",1990,72,72
"Austria",1995,75,76
"Austria",1996,-9999,-9999
"Austria",1997,-9999,-9999
"Austria",1998,81,82
"Austria",1999,-9999,-9999
"Austria",2000,85,85
"Austria",2001,86,86
"Austria",2002,86,86
"Austria",2003,89,89
"Austria",2004,89,89
"Austria",2005,-9999,-9999
"Austria",2006,92,92
"Austria",2007,-9999,-9999
"Austria",2008,93,93
"Austria",2009,-9999,-9999
"Azerbaijan",1990,-9999,-9999
"Azerbaijan",1995,-9999,-9999
"Azerbaijan",1996,-9999,-9999
"Azerbaijan",1997,-9999,-9999
"Azerbaijan",1998,-9999,-9999
"Azerbaijan",1999,-9999,-9999
"Azerbaijan",2000,-9999,-9999
"Azerbaijan",2001,-9999,-9999
"Azerbaijan",2002,-9999,-9999
"Azerbaijan",2003,30,30
"Azerbaijan",2004,30,30
"Azerbaijan",2005,30,30
"Azerbaijan",2006,-8888,50
"Azerbaijan",2007,-8888,50
"Azerbaijan",2008,31.2,31.2
"Azerbaijan",2009,31.4,31.4
"Bahamas",1990,-9999,-9999
"Bahamas",1995,-9999,-9999
"Bahamas",1996,-9999,-9999
"Bahamas",1997,-9999,-9999
"Bahamas",1998,-9999,-9999
"Bahamas",1999,-9999,-9999
"Bahamas",2000,-9999,-9999
"Bahamas",2001,-9999,-9999
"Bahamas",2002,-9999,-9999
"Bahamas",2003,-9999,-9999
"Bahamas",2004,-9999,-9999
"Bahamas",2005,-9999,-9999
"Bahamas",2006,-9999,-9999
"Bahamas",2007,-9999,-9999
"Bahamas",2008,-9999,-9999
"Bahamas",2009,-9999,-9999
"Bahrain",1990,58,58
"Bahrain",1995,64,64
"Bahrain",1996,65,65
"Bahrain",1997,66,66
"Bahrain",1998,69,69
"Bahrain",1999,71,71
"Bahrain",2000,74,74
"Bahrain",2001,75,75
"Bahrain",2002,77,77
"Bahrain",2003,79,79
"Bahrain",2004,83,83
"Bahrain",2005,86,86
"Bahrain",2006,87,87
"Bahrain",2007,88,88
"Bahrain",2008,-9999,-9999
"Bahrain",2009,-9999,-9999
"Bangladesh",1990,-9999,-9999
"Bangladesh",1995,-9999,-9999
"Bangladesh",1996,-9999,-9999
"Bangladesh",1997,-9999,-9999
"Bangladesh",1998,-9999,-9999
"Bangladesh",1999,-9999,-9999
"Bangladesh",2000,-9999,-9999
"Bangladesh",2001,-9999,-9999
"Bangladesh",2002,-9999,-9999
"Bangladesh",2003,-9999,-9999
"Bangladesh",2004,-9999,-9999
"Bangladesh",2005,-9999,-9999
"Bangladesh",2006,-9999,-9999
"Bangladesh",2007,-9999,-9999
"Bangladesh",2008,-9999,-9999
"Bangladesh",2009,-9999,-9999
"Barbados",1990,-9999,-9999
"Barbados",1995,-9999,-9999
"Barbados",1996,-9999,-9999
"Barbados",1997,-9999,-9999
"Barbados",1998,-9999,-9999
"Barbados",1999,-9999,-9999
"Barbados",2000,-9999,-9999
"Barbados",2001,-9999,-9999
"Barbados",2002,-9999,-9999
"Barbados",2003,-9999,-9999
"Barbados",2004,-9999,-9999
"Barbados",2005,-9999,-9999
"Barbados",2006,-9999,-9999
"Barbados",2007,-9999,-9999
"Barbados",2008,-9999,-9999
"Barbados",2009,-9999,-9999
"Belarus",1990,-9999,-9999
"Belarus",1995,-9999,-9999
"Belarus",1996,94.1,94.1
"Belarus",1997,90.2,90.2
"Belarus",1998,91,91
"Belarus",1999,92.9,92.9
"Belarus",2000,90.1,90.1
"Belarus",2001,90.1,90.1
"Belarus",2002,94,94
"Belarus",2003,92.8,92.8
"Belarus",2004,90.8,90.8
"Belarus",2005,98.3,98.3
"Belarus",2006,96.1,96.1
"Belarus",2007,94.9,94.9
"Belarus",2008,-9999,-9999
"Belarus",2009,-9999,-9999
"Belgium",1990,-9999,-9999
"Belgium",1995,29,81
"Belgium",1996,30,81
"Belgium",1997,35,81
"Belgium",1998,38,81
"Belgium",1999,39,81
"Belgium",2000,41,81
"Belgium",2001,46,81
"Belgium",2002,48,81
"Belgium",2003,51,83
"Belgium",2004,53,85
"Belgium",2005,54,86
"Belgium",2006,57,87
"Belgium",2007,69,89
"Belgium",2008,-9999,-9999
"Belgium",2009,-9999,-9999
"Belize",1990,-9999,-9999
"Belize",1995,-9999,-9999
"Belize",1996,-9999,-9999
"Belize",1997,-9999,-9999
"Belize",1998,-9999,-9999
"Belize",1999,-9999,-9999
"Belize",2000,15.1,15.1
"Belize",2001,-9999,-9999
"Belize",2002,-9999,-9999
"Belize",2003,-9999,-9999
"Belize",2004,-9999,-9999
"Belize",2005,-9999,-9999
"Belize",2006,-9999,-9999
"Belize",2007,-9999,-9999
"Belize",2008,-9999,-9999
"Belize",2009,-9999,-9999
"Benin",1990,-9999,-9999
"Benin",1995,-9999,-9999
"Benin",1996,-9999,-9999
"Benin",1997,-9999,-9999
"Benin",1998,-9999,-9999
"Benin",1999,-9999,-9999
"Benin",2000,-9999,-9999
"Benin",2001,-9999,-9999
"Benin",2002,-9999,-9999
"Benin",2003,-9999,-9999
"Benin",2004,-9999,-9999
"Benin",2005,-9999,-9999
"Benin",2006,-9999,-9999
"Benin",2007,-9999,-9999
"Benin",2008,-9999,-9999
"Benin",2009,-9999,-9999
"Bermuda",1990,-9999,-9999
"Bermuda",1995,-9999,-9999
"Bermuda",1996,-9999,-9999
"Bermuda",1997,-9999,-9999
"Bermuda",1998,-9999,-9999
"Bermuda",1999,-9999,-9999
"Bermuda",2000,-9999,-9999
"Bermuda",2001,-9999,-9999
"Bermuda",2002,-9999,-9999
"Bermuda",2003,-9999,-9999
"Bermuda",2004,-9999,-9999
"Bermuda",2005,5,5
"Bermuda",2006,5,5
"Bermuda",2007,5,5
"Bermuda",2008,5,5
"Bermuda",2009,5,5
"Bhutan",1990,-9999,-9999
"Bhutan",1995,-9999,-9999
"Bhutan",1996,-9999,-9999
"Bhutan",1997,-9999,-9999
"Bhutan",1998,-9999,-9999
"Bhutan",1999,-9999,-9999
"Bhutan",2000,-9999,-9999
"Bhutan",2001,-9999,-9999
"Bhutan",2002,-9999,-9999
"Bhutan",2003,-9999,-9999
"Bhutan",2004,-9999,-9999
"Bhutan",2005,-9999,-9999
"Bhutan",2006,-9999,-9999
"Bhutan",2007,-9999,-9999
"Bhutan",2008,-9999,-9999
"Bhutan",2009,-9999,-9999
"Bolivia",1990,-9999,-9999
"Bolivia",1995,-9999,-9999
"Bolivia",1996,-8888,25.3
"Bolivia",1997,-8888,28.6
"Bolivia",1998,-8888,34.5
"Bolivia",1999,-8888,32.5
"Bolivia",2000,-8888,34.6
"Bolivia",2001,-8888,31.1
"Bolivia",2002,-8888,30.9
"Bolivia",2003,-8888,31.4
"Bolivia",2004,-9999,-9999
"Bolivia",2005,-8888,36.4
"Bolivia",2006,-8888,31.9
"Bolivia",2007,-8888,37.7
"Bolivia",2008,-8888,43.9
"Bolivia",2009,-9999,-9999
"Bosnia and Herzegovina",1990,-8888,38
"Bosnia and Herzegovina",1995,-9999,-9999
"Bosnia and Herzegovina",1996,-9999,-9999
"Bosnia and Herzegovina",1997,-9999,-9999
"Bosnia and Herzegovina",1998,-9999,-9999
"Bosnia and Herzegovina",1999,-9999,-9999
"Bosnia and Herzegovina",2000,-9999,-9999
"Bosnia and Herzegovina",2001,-9999,-9999
"Bosnia and Herzegovina",2002,-9999,-9999
"Bosnia and Herzegovina",2003,-9999,-9999
"Bosnia and Herzegovina",2004,-9999,-9999
"Bosnia and Herzegovina",2005,-9999,-9999
"Bosnia and Herzegovina",2006,-9999,-9999
"Bosnia and Herzegovina",2007,-9999,-9999
"Bosnia and Herzegovina",2008,-9999,-9999
"Bosnia and Herzegovina",2009,-9999,-9999
"Botswana",1990,-9999,-9999
"Botswana",1995,-9999,-9999
"Botswana",1996,-9999,-9999
"Botswana",1997,-9999,-9999
"Botswana",1998,-9999,-9999
"Botswana",1999,-9999,-9999
"Botswana",2000,-9999,-9999
"Botswana",2001,-9999,-9999
"Botswana",2002,-9999,-9999
"Botswana",2003,-9999,-9999
"Botswana",2004,-9999,-9999
"Botswana",2005,-9999,-9999
"Botswana",2006,-9999,-9999
"Botswana",2007,-9999,-9999
"Botswana",2008,-9999,-9999
"Botswana",2009,-9999,-9999
"Brazil",1990,-8888,38.3
"Brazil",1995,-8888,37.1
"Brazil",1996,-8888,38.1
"Brazil",1997,-8888,38.6
"Brazil",1998,-8888,40.2
"Brazil",1999,-8888,41.3
"Brazil",2000,-9999,-9999
"Brazil",2001,-8888,43.2
"Brazil",2002,-8888,44
"Brazil",2003,-8888,45.5
"Brazil",2004,-8888,45.4
"Brazil",2005,-8888,45.5
"Brazil",2006,26,45.9
"Brazil",2007,-8888,48.6
"Brazil",2008,-8888,50.2
"Brazil",2009,-9999,-9999
"British Virgin Islands",1990,-9999,-9999
"British Virgin Islands",1995,-9999,-9999
"British Virgin Islands",1996,-9999,-9999
"British Virgin Islands",1997,-9999,-9999
"British Virgin Islands",1998,-9999,-9999
"British Virgin Islands",1999,-9999,-9999
"British Virgin Islands",2000,-9999,-9999
"British Virgin Islands",2001,24.5,24.5
"British Virgin Islands",2002,-9999,-9999
"British Virgin Islands",2003,-9999,-9999
"British Virgin Islands",2004,-9999,-9999
"British Virgin Islands",2005,-9999,-9999
"British Virgin Islands",2006,-9999,-9999
"British Virgin Islands",2007,-9999,-9999
"British Virgin Islands",2008,-9999,-9999
"British Virgin Islands",2009,-9999,-9999
"Brunei Darussalam",1990,-9999,-9999
"Brunei Darussalam",1995,-9999,-9999
"Brunei Darussalam",1996,-9999,-9999
"Brunei Darussalam",1997,-9999,-9999
"Brunei Darussalam",1998,-9999,-9999
"Brunei Darussalam",1999,-9999,-9999
"Brunei Darussalam",2000,-9999,-9999
"Brunei Darussalam",2001,-9999,-9999
"Brunei Darussalam",2002,-9999,-9999
"Brunei Darussalam",2003,-9999,-9999
"Brunei Darussalam",2004,-9999,-9999
"Brunei Darussalam",2005,-9999,-9999
"Brunei Darussalam",2006,-9999,-9999
"Brunei Darussalam",2007,-9999,-9999
"Brunei Darussalam",2008,-9999,-9999
"Brunei Darussalam",2009,-9999,-9999
"Bulgaria",1990,-9999,-9999
"Bulgaria",1995,36,67
"Bulgaria",1996,36,67
"Bulgaria",1997,36,67
"Bulgaria",1998,36,67
"Bulgaria",1999,36,67
"Bulgaria",2000,37,67
"Bulgaria",2001,38,68
"Bulgaria",2002,39,68
"Bulgaria",2003,40,69
"Bulgaria",2004,40,69
"Bulgaria",2005,41,69
"Bulgaria",2006,41,69
"Bulgaria",2007,42,70
"Bulgaria",2008,44,70
"Bulgaria",2009,45,70
"Burkina Faso",1990,-9999,-9999
"Burkina Faso",1995,-9999,-9999
"Burkina Faso",1996,-9999,-9999
"Burkina Faso",1997,-9999,-9999
"Burkina Faso",1998,-9999,-9999
"Burkina Faso",1999,-9999,-9999
"Burkina Faso",2000,-9999,-9999
"Burkina Faso",2001,-9999,-9999
"Burkina Faso",2002,-9999,-9999
"Burkina Faso",2003,-9999,-9999
"Burkina Faso",2004,-9999,-9999
"Burkina Faso",2005,-9999,-9999
"Burkina Faso",2006,-9999,-9999
"Burkina Faso",2007,-9999,-9999
"Burkina Faso",2008,-9999,-9999
"Burkina Faso",2009,-9999,-9999
"Burundi",1990,-9999,-9999
"Burundi",1995,-9999,-9999
"Burundi",1996,-9999,-9999
"Burundi",1997,-9999,-9999
"Burundi",1998,-9999,-9999
"Burundi",1999,-9999,-9999
"Burundi",2000,-9999,-9999
"Burundi",2001,-9999,-9999
"Burundi",2002,-9999,-9999
"Burundi",2003,-9999,-9999
"Burundi",2004,-9999,-9999
"Burundi",2005,-9999,-9999
"Burundi",2006,-9999,-9999
"Burundi",2007,-9999,-9999
"Burundi",2008,-9999,-9999
"Burundi",2009,-9999,-9999
"Cambodia",1990,-9999,-9999
"Cambodia",1995,-9999,-9999
"Cambodia",1996,-9999,-9999
"Cambodia",1997,-9999,-9999
"Cambodia",1998,-9999,-9999
"Cambodia",1999,-9999,-9999
"Cambodia",2000,-9999,-9999
"Cambodia",2001,-9999,-9999
"Cambodia",2002,-9999,-9999
"Cambodia",2003,-9999,-9999
"Cambodia",2004,-9999,-9999
"Cambodia",2005,-9999,-9999
"Cambodia",2006,-9999,-9999
"Cambodia",2007,-9999,-9999
"Cambodia",2008,-9999,-9999
"Cambodia",2009,-9999,-9999
"Cameroon",1990,-9999,-9999
"Cameroon",1995,-9999,-9999
"Cameroon",1996,-9999,-9999
"Cameroon",1997,-9999,-9999
"Cameroon",1998,-9999,-9999
"Cameroon",1999,-9999,-9999
"Cameroon",2000,-9999,-9999
"Cameroon",2001,-9999,-9999
"Cameroon",2002,-9999,-9999
"Cameroon",2003,-9999,-9999
"Cameroon",2004,-9999,-9999
"Cameroon",2005,-9999,-9999
"Cameroon",2006,-9999,-9999
"Cameroon",2007,-9999,-9999
"Cameroon",2008,-9999,-9999
"Cameroon",2009,-9999,-9999
"Canada",1990,62.4,-8888
"Canada",1995,-9999,-9999
"Canada",1996,69.8,-8888
"Canada",1997,-9999,-9999
"Canada",1998,-9999,-9999
"Canada",1999,71.7,74.3
"Canada",2000,-9999,-9999
"Canada",2001,-9999,-9999
"Canada",2002,-9999,-9999
"Canada",2003,-9999,-9999
"Canada",2004,-9999,-9999
"Canada",2005,-9999,-9999
"Canada",2006,-9999,-9999
"Canada",2007,-9999,-9999
"Canada",2008,-9999,-9999
"Canada",2009,-9999,-9999
"Cape Verde",1990,-9999,-9999
"Cape Verde",1995,-9999,-9999
"Cape Verde",1996,-9999,-9999
"Cape Verde",1997,-9999,-9999
"Cape Verde",1998,-9999,-9999
"Cape Verde",1999,-9999,-9999
"Cape Verde",2000,-9999,-9999
"Cape Verde",2001,-9999,-9999
"Cape Verde",2002,-9999,-9999
"Cape Verde",2003,-9999,-9999
"Cape Verde",2004,-9999,-9999
"Cape Verde",2005,-9999,-9999
"Cape Verde",2006,-9999,-9999
"Cape Verde",2007,-9999,-9999
"Cape Verde",2008,-9999,-9999
"Cape Verde",2009,-9999,-9999
"Cayman Islands",1990,-9999,-9999
"Cayman Islands",1995,-9999,-9999
"Cayman Islands",1996,-9999,-9999
"Cayman Islands",1997,-9999,-9999
"Cayman Islands",1998,-9999,-9999
"Cayman Islands",1999,-9999,-9999
"Cayman Islands",2000,-9999,-9999
"Cayman Islands",2001,-9999,-9999
"Cayman Islands",2002,-9999,-9999
"Cayman Islands",2003,-9999,-9999
"Cayman Islands",2004,-9999,-9999
"Cayman Islands",2005,-9999,-9999
"Cayman Islands",2006,-9999,-9999
"Cayman Islands",2007,-9999,-9999
"Cayman Islands",2008,-9999,-9999
"Cayman Islands",2009,-9999,-9999
"Central African Republic",1990,-9999,-9999
"Central African Republic",1995,-9999,-9999
"Central African Republic",1996,-9999,-9999
"Central African Republic",1997,-9999,-9999
"Central African Republic",1998,-9999,-9999
"Central African Republic",1999,-9999,-9999
"Central African Republic",2000,-9999,-9999
"Central African Republic",2001,-9999,-9999
"Central African Republic",2002,-9999,-9999
"Central African Republic",2003,-9999,-9999
"Central African Republic",2004,-9999,-9999
"Central African Republic",2005,-9999,-9999
"Central African Republic",2006,-9999,-9999
"Central African Republic",2007,-9999,-9999
"Central African Republic",2008,-9999,-9999
"Central African Republic",2009,-9999,-9999
"Chad",1990,-9999,-9999
"Chad",1995,-9999,-9999
"Chad",1996,-9999,-9999
"Chad",1997,-9999,-9999
"Chad",1998,-9999,-9999
"Chad",1999,-9999,-9999
"Chad",2000,-9999,-9999
"Chad",2001,-9999,-9999
"Chad",2002,-9999,-9999
"Chad",2003,-9999,-9999
"Chad",2004,-9999,-9999
"Chad",2005,-9999,-9999
"Chad",2006,-9999,-9999
"Chad",2007,-9999,-9999
"Chad",2008,-9999,-9999
"Chad",2009,-9999,-9999
"Chile",1990,10,-8888
"Chile",1995,14,89.4
"Chile",1996,11.5,-8888
"Chile",1997,11.7,-8888
"Chile",1998,16.7,-8888
"Chile",1999,22.6,92.1
"Chile",2000,20.9,93.3
"Chile",2001,39.4,93.6
"Chile",2002,42.2,94.1
"Chile",2003,65.7,94.4
"Chile",2004,71.5,94.8
"Chile",2005,73.3,94.9
"Chile",2006,81.9,95.2
"Chile",2007,82.2,95.2
"Chile",2008,82.6,95.3
"Chile",2009,83.3,95.6
"China",1990,-9999,-9999
"China",1995,-8888,19.7
"China",1996,-9999,-9999
"China",1997,-9999,-9999
"China",1998,-9999,-9999
"China",1999,-8888,31.9
"China",2000,-8888,34.3
"China",2001,20.8,36.4
"China",2002,24.3,40
"China",2003,27.5,42.4
"China",2004,32.5,45.7
"China",2005,-9999,-9999
"China",2006,-9999,-9999
"China",2007,-9999,-9999
"China",2008,-9999,-9999
"China",2009,-9999,-9999
"Colombia",1990,-9999,-9999
"Colombia",1995,-9999,-9999
"Colombia",1996,-9999,-9999
"Colombia",1997,-9999,-9999
"Colombia",1998,-9999,-9999
"Colombia",1999,-9999,-9999
"Colombia",2000,-9999,-9999
"Colombia",2001,-9999,-9999
"Colombia",2002,-9999,-9999
"Colombia",2003,-9999,-9999
"Colombia",2004,-9999,-9999
"Colombia",2005,-9999,-9999
"Colombia",2006,-9999,-9999
"Colombia",2007,-9999,-9999
"Colombia",2008,-9999,-9999
"Colombia",2009,-9999,-9999
"Comoros",1990,-9999,-9999
"Comoros",1995,-9999,-9999
"Comoros",1996,-9999,-9999
"Comoros",1997,-9999,-9999
"Comoros",1998,-9999,-9999
"Comoros",1999,-9999,-9999
"Comoros",2000,-9999,-9999
"Comoros",2001,-9999,-9999
"Comoros",2002,-9999,-9999
"Comoros",2003,-9999,-9999
"Comoros",2004,-9999,-9999
"Comoros",2005,-9999,-9999
"Comoros",2006,-9999,-9999
"Comoros",2007,-9999,-9999
"Comoros",2008,-9999,-9999
"Comoros",2009,-9999,-9999
"Congo",1990,-9999,-9999
"Congo",1995,-9999,-9999
"Congo",1996,-9999,-9999
"Congo",1997,-9999,-9999
"Congo",1998,-9999,-9999
"Congo",1999,-9999,-9999
"Congo",2000,-9999,-9999
"Congo",2001,-9999,-9999
"Congo",2002,-9999,-9999
"Congo",2003,-9999,-9999
"Congo",2004,-9999,-9999
"Congo",2005,-9999,-9999
"Congo",2006,-9999,-9999
"Congo",2007,-9999,-9999
"Congo",2008,-9999,-9999
"Congo",2009,-9999,-9999
"Cook Islands",1990,-9999,-9999
"Cook Islands",1995,-9999,-9999
"Cook Islands",1996,-9999,-9999
"Cook Islands",1997,-9999,-9999
"Cook Islands",1998,-9999,-9999
"Cook Islands",1999,-9999,-9999
"Cook Islands",2000,-9999,-9999
"Cook Islands",2001,-9999,-9999
"Cook Islands",2002,-9999,-9999
"Cook Islands",2003,-9999,-9999
"Cook Islands",2004,-9999,-9999
"Cook Islands",2005,-9999,-9999
"Cook Islands",2006,-9999,-9999
"Cook Islands",2007,-9999,-9999
"Cook Islands",2008,-9999,-9999
"Cook Islands",2009,-9999,-9999
"Costa Rica",1990,-9999,-9999
"Costa Rica",1995,-9999,-9999
"Costa Rica",1996,-9999,-9999
"Costa Rica",1997,-9999,-9999
"Costa Rica",1998,-9999,-9999
"Costa Rica",1999,-9999,-9999
"Costa Rica",2000,2.4,24.8
"Costa Rica",2001,-9999,-9999
"Costa Rica",2002,-9999,-9999
"Costa Rica",2003,-9999,-9999
"Costa Rica",2004,-9999,-9999
"Costa Rica",2005,-9999,-9999
"Costa Rica",2006,-9999,-9999
"Costa Rica",2007,-9999,-9999
"Costa Rica",2008,-9999,-9999
"Costa Rica",2009,-9999,-9999
"Cote d'Ivoire",1990,-9999,-9999
"Cote d'Ivoire",1995,-9999,-9999
"Cote d'Ivoire",1996,-9999,-9999
"Cote d'Ivoire",1997,-9999,-9999
"Cote d'Ivoire",1998,-9999,-9999
"Cote d'Ivoire",1999,-9999,-9999
"Cote d'Ivoire",2000,-9999,-9999
"Cote d'Ivoire",2001,-9999,-9999
"Cote d'Ivoire",2002,-9999,-9999
"Cote d'Ivoire",2003,-9999,-9999
"Cote d'Ivoire",2004,-9999,-9999
"Cote d'Ivoire",2005,-9999,-9999
"Cote d'Ivoire",2006,-9999,-9999
"Cote d'Ivoire",2007,-9999,-9999
"Cote d'Ivoire",2008,-9999,-9999
"Cote d'Ivoire",2009,-9999,-9999
"Croatia",1990,-8888,35
"Croatia",1995,-8888,38
"Croatia",1996,-9999,-9999
"Croatia",1997,-9999,-9999
"Croatia",1998,-9999,-9999
"Croatia",1999,-9999,-9999
"Croatia",2000,8.8,40.1
"Croatia",2001,-9999,-9999
"Croatia",2002,-9999,-9999
"Croatia",2003,-8888,42
"Croatia",2004,14.6,42.7
"Croatia",2005,28.2,42.7
"Croatia",2006,28.4,43.1
"Croatia",2007,28.1,43.3
"Croatia",2008,27.3,44.2
"Croatia",2009,-9999,-9999
"Cuba",1990,23.1,29.8
"Cuba",1995,23.2,34.2
"Cuba",1996,23.3,34.2
"Cuba",1997,23.4,36
"Cuba",1998,23.4,38.2
"Cuba",1999,23.4,38.1
"Cuba",2000,23.4,38.2
"Cuba",2001,24,39
"Cuba",2002,24,38.4
"Cuba",2003,24,38.4
"Cuba",2004,24,38.8
"Cuba",2005,24,38.8
